homevisitor,stat,value
V,team-id,carleton
H,team-id,macalester
V,R,1
V,H,6
V,E,3
V,innings,"[""0"", ""0"", ""0"", ""0"", ""0"", ""1"", ""0""]"
H,R,3
H,H,2
H,E,0
H,innings,"[""0"", ""1"", ""0"", ""0"", ""2"", ""0""]"
