homevisitor,stat,value
V,team-id,macalester
H,team-id,st-olaf
V,R,2
V,H,7
V,E,2
V,innings,"[""0"", ""0"", ""0"", ""0"", ""1"", ""1"", ""0""]"
H,R,3
H,H,5
H,E,0
H,innings,"[""0"", ""1"", ""0"", ""1"", ""1"", ""0""]"
