homevisitor,stat,value
V,team-id,macalester
H,team-id,wm-paterson
V,R,1
V,H,1
V,E,3
V,innings,"[""1"", ""0"", ""0"", ""0"", ""0""]"
H,R,9
H,H,10
H,E,1
H,innings,"[""0"", ""0"", ""7"", ""2""]"
