homevisitor,stat,value
V,team-id,macalester
H,team-id,st-catherine
V,R,4
V,H,9
V,E,2
V,innings,"[""1"", ""0"", ""0"", ""0"", ""2"", ""0"", ""1""]"
H,R,7
H,H,7
H,E,3
H,innings,"[""0"", ""1"", ""3"", ""0"", ""1"", ""2""]"
