homevisitor,stat,value
V,team-id,macalester
H,team-id,bethel-mn
V,R,0
V,H,6
V,E,5
V,innings,"[""0"", ""0"", ""0"", ""0"", ""0"", ""0"", ""0""]"
H,R,7
H,H,9
H,E,0
H,innings,"[""0"", ""3"", ""0"", ""3"", ""1"", ""0""]"
