homevisitor,stat,value
V,team-id,macalester
H,team-id,northwestern-stpaul
V,R,3
V,H,5
V,E,1
V,innings,"[""1"", ""0"", ""2"", ""0"", ""0"", ""0""]"
H,R,3
H,H,8
H,E,2
H,innings,"[""1"", ""0"", ""0"", ""0"", ""0"", ""2""]"
