homevisitor,stat,value
V,team-id,macalester
H,team-id,st-catherine
V,R,7
V,H,9
V,E,2
V,innings,"[""2"", ""1"", ""0"", ""0"", ""0"", ""3"", ""1""]"
H,R,1
H,H,5
H,E,3
H,innings,"[""0"", ""0"", ""0"", ""0"", ""0"", ""0"", ""1""]"
