homevisitor,stat,value
V,team-id,wis-platteville
H,team-id,macalester
V,R,7
V,H,5
V,E,2
V,innings,"[""0"", ""4"", ""0"", ""1"", ""0"", ""1"", ""1""]"
H,R,2
H,H,4
H,E,9
H,innings,"[""0"", ""0"", ""0"", ""2"", ""0"", ""0"", ""0""]"
