homevisitor,stat,value
V,team-id,macalester
H,team-id,concordia-m'head
V,R,3
V,H,6
V,E,5
V,innings,"[""1"", ""0"", ""1"", ""1"", ""0"", ""0"", ""0""]"
H,R,10
H,H,7
H,E,1
H,innings,"[""2"", ""1"", ""0"", ""0"", ""5"", ""2""]"
