homevisitor,stat,value
V,team-id,macalester
H,team-id,concordia-m'head
V,R,2
V,H,5
V,E,0
V,innings,"[""0"", ""0"", ""0"", ""2"", ""0"", ""0"", ""0""]"
H,R,8
H,H,12
H,E,0
H,innings,"[""0"", ""1"", ""2"", ""2"", ""3"", ""0""]"
