homevisitor,stat,value
V,team-id,macalester
H,team-id,hamline
V,R,2
V,H,1
V,E,3
V,innings,"[""0"", ""0"", ""2"", ""0"", ""0""]"
H,R,12
H,H,13
H,E,2
H,innings,"[""0"", ""9"", ""2"", ""1""]"
V,team-id,macalester
H,team-id,hamline
V,R,1
V,H,2
V,E,0
V,innings,"[""0"", ""0"", ""0"", ""0"", ""0"", ""0"", ""1""]"
H,R,5
H,H,9
H,E,1
H,innings,"[""0"", ""0"", ""1"", ""1"", ""0"", ""3""]"
