homevisitor,stat,value
V,team-id,st-thomas-mn
H,team-id,macalester
V,R,11
V,H,12
V,E,0
V,innings,"[""1"", ""1"", ""4"", ""4"", ""1""]"
H,R,0
H,H,2
H,E,1
H,innings,"[""0"", ""0"", ""0"", ""0"", ""0""]"
