player-id,game-id,lineup-pos,start,pos,ab,r,h,rbi,bb,so,2b,3b,hr,sb,cs,sh,sf,hbp,po,a,e,pb,p-ip,p-h,p-r,p-er,p-bb,p-so,p-ab,p-bf,p-wp,p-hbp,p-w,p-l,p-s
shepm001,200105041macalester,2,True,2b,2,0,0,0,0,0,,,,,,1,,,3,3,,,,,,,,,,,,,,,
shepm001,200105042macalester,2,True,2b/pr,3,1,1,1,0,0,,,,,,,,,1,1,,,,,,,,,,,,,,,
