player-id,game-id,lineup-pos,start,pos,ab,r,h,rbi,bb,so,2b,3b,hr,sb,cs,sh,sf,hbp,po,a,e,pb,p-ip,p-h,p-r,p-er,p-bb,p-so,p-ab,p-bf,p-wp,p-hbp,p-w,p-l,p-s
portl001,200105021bethel-mn,5,True,c,3,0,1,2,0,0,1,,,,,,,,4,2,,,,,,,,,,,,,,,
portl001,200105022bethel-mn,5,True,c,4,0,1,1,0,0,,,,,,,,,2,4,,,,,,,,,,,,,,,
