id,last,first,team,years,extra
zillm001,Zillhardt,Marion,hamline,2001,
schek001,Scheuerlein,Kelly,martin-luther,2002,
dunkk001,Dunkel,Katia,carleton,2001,
blumt001,Blumer,Tiffany,wis-river-falls,2002,
moors001,Moore,Shannon,st-thomas-mn,2001|2002,
payed001,Payette,Danica,simon-fraser,2002,
berqk001,Berquam,Katy,gust-adolphus,2001,
stohn001,Stohovich,Nichole,minn-morris,2001,
mill-001,Miller,,saint-marys-mn,2002,
26---001,26,,minn-morris,2001,
kalla001,Kalland,Abby,carleton,2001,
huegk001,Huegel,Kristi,st-thomas-mn,2002,
dalem001,Dalen,Maggie,gust-adolphus,2001,
andej001,Anderson,Jillian,gust-adolphus,2001,
kluzk001,Kluzak,Karla,hamline,2001,
andr-001,Andreas,,pacific-or,2002,
rizz-001,Rizzardi,,saint-marys-mn,2001|2002,
flatj001,Flatau,Jill,concordia-m'head,2001|2002,
shep-001,Shepherd,,st-benedict,2002,
25---001,25,,minn-morris,2001,
fitzk001,Fitzpatrick,Kathleen,st-thomas-mn,2002,
espil001,Espinosa,Laura,carleton,2001,
amose001,Amos,Erin,neb-wesleyan,2002,
stor-001,Stork,,st-benedict,2001,
hablc001,Hable,Cheryl,st-thomas-mn,2002,
schrc001,Schrader,Cecily,carleton,2001,
stol-001,Stoll,,cornell-college,2002,
turbm001,Turbak,Melissa,wis-river-falls,2002,
coolc001,Cooley,Carrie,st-olaf,2001,
dunce001,Duncan,Erica,dana,2002,
lapil001,LaPine,Leah,northwestern-stpaul,2002,
collk001,Collyar,Kate,carleton,2001,
kurtl001,Kurtz,Liz,northwestern-stpaul,2002,
minn-001,Minnerath,,st-benedict,2001,
pons-001,Ponsolle,,st-benedict,2002,
zahnr001,Zahn,R,martin-luther,2002,
leasb001,Leasman,Beth,northwestern-stpaul,2002,
schr-001,Schrader,,carleton,2002,
keys-001,Keyser,,st-benedict,2002,
bowlm001,Bowlby,Mandy,st-thomas-mn,2001|2002,
lama-001,LaManna,,augsburg,2001,
grovh001,Grover,Hope,gust-adolphus,2001,
ray--001,Ray,,st-olaf,2002,
kola-001,Kolasa,,saint-marys-mn,2001|2002,
prim-001,Primus,,st-benedict,2001,
brooa001,Brooke,Amy,wis-river-falls,2002,
millj001,Miller,J.,saint-marys-mn,2001,
brint001,Brings,Tami,st-catherine,2002,
vondl001,Vonderploeg,Leah,wis-river-falls,2002,
hatla001,Hatleli,Andrea,st-olaf,2001,
jone-001,Jones,,pacific-or,2002,
schi-001,Schirmers,,st-benedict,2001|2002,
myer-001,Myers,,cornell-college,2002,
radnt001,Radniecki,Tara,minn-morris,2001,
grunc001,Grundtner,Clare,st-catherine,2001|2002,
larsm001,Larsen,Meredith,st-olaf,2001,
portv001,Porter,Venda,hamline,2001,
isaab001,Isaacson,Betheny,northwestern-stpaul,2002,
robic001,Robinson,Christina,neb-wesleyan,2002,
rosss001,Rossiter,Shannon,simon-fraser,2002,
lavij001,LaViolette,Jill,martin-luther,2002,
heldk001,Heldt,Kim,martin-luther,2002,
----e001,,Emily,wis-river-falls,2002,
dillc001,Diller,Christina,gust-adolphus,2001,
rossj001,Rossini,Julia,hamline,2001,
herbs001,Herby,Sarah,st-olaf,2001,
olsom001,Olson,Misty,minn-morris,2001,
simot001,Simon,Tracy,macalester,2001,
thomk001,Thompson,Katie,gust-adolphus,2001,
hagec001,Hagen,Christina,concordia-m'head,2001,
lundk001,Lundeen,Kristin,bethel-mn,2001,
moenc001,Moen,Christine,concordia-m'head,2001,
freep001,Freeman,Phoenix,carleton,2001,
