player-id,game-id,lineup-pos,start,pos,ab,r,h,rbi,bb,so,2b,3b,hr,sb,cs,sh,sf,hbp,po,a,e,pb,p-ip,p-h,p-r,p-er,p-bb,p-so,p-ab,p-bf,p-wp,p-hbp,p-bk,p-w,p-l,p-s
guttj001,200404251macalester,3,True,3b,3,0,1,2,0,0,,1,,,,1,,,1,3,,,,,,,,,,,,,,,,
guttj001,200404252macalester,3,True,3b,4,1,3,0,0,0,1,,,2,,,,,1,4,1,,,,,,,,,,,,,,,
