homevisitor,stat,value
V,team-id,macalester
H,team-id,carleton
V,R,1
V,H,6
V,E,6
H,R,7
H,H,7
H,E,1
V,innings,"[""0"", ""0"", ""0"", ""1"", ""0"", ""0"", ""0""]"
H,innings,"[""2"", ""0"", ""0"", ""1"", ""1"", ""3""]"
