homevisitor,stat,value
V,team-id,macalester
H,team-id,hu-piper
V,R,1
V,H,2
V,E,0
H,R,10
H,H,12
H,E,0
V,innings,"[""0"", ""0"", ""1"", ""0"", ""0""]"
H,innings,"[""10"", ""0"", ""0"", ""0""]"
