homevisitor,stat,value
V,team-id,concordia-m'head
H,team-id,macalester
V,R,4
V,H,9
V,E,1
V,innings,"[""0"", ""1"", ""0"", ""3"", ""0"", ""0"", ""0""]"
H,R,2
H,H,5
H,E,2
H,innings,"[""0"", ""0"", ""0"", ""0"", ""0"", ""2"", ""0""]"
