homevisitor,stat,value
V,team-id,macalester
H,team-id,augsburg
V,R,1
V,H,4
V,E,0
H,R,11
H,H,11
H,E,0
V,innings,"[""0"", ""1"", ""0"", ""0"", ""0""]"
H,innings,"[""3"", ""3"", ""2"", ""3""]"
