homevisitor,stat,value
V,team-id,macalester
H,team-id,pacific-or
V,R,3
V,H,8
V,E,7
V,innings,"[""0"", ""0"", ""0"", ""0"", ""2"", ""1"", ""0""]"
H,R,7
H,H,10
H,E,1
H,innings,"[null, ""0"", ""1"", ""2"", ""4"", ""0"", ""0""]"
