homevisitor,stat,value
V,team-id,martin-luther
H,team-id,macalester
V,R,0
V,H,3
V,E,5
V,innings,"[""0"", ""0"", ""0"", ""0"", ""0""]"
H,R,9
H,H,9
H,E,0
H,innings,"[""3"", ""1"", ""4"", ""1""]"
