homevisitor,stat,value
V,team-id,macalester
H,team-id,pacific-or
V,R,4
V,H,7
V,E,1
V,innings,"[""0"", ""0"", ""0"", ""0"", ""4"", ""0"", ""0""]"
H,R,8
H,H,14
H,E,1
H,innings,"[null, ""0"", ""2"", ""0"", ""1"", ""3"", ""2""]"
