homevisitor,stat,value
V,team-id,macalester
H,team-id,dana
V,R,6
V,H,13
V,E,4
V,innings,"[""3"", ""2"", ""0"", ""0"", ""0"", ""1"", ""0""]"
H,R,9
H,H,10
H,E,3
H,innings,"[""2"", ""0"", ""2"", ""3"", ""2"", ""0""]"
