homevisitor,stat,value
V,team-id,macalester
H,team-id,st-benedict
V,R,0
V,H,1
V,E,0
V,innings,"[""0"", ""0"", ""0"", ""0"", ""0""]"
H,R,8
H,H,10
H,E,1
H,innings,"[""3"", ""0"", ""2"", ""0"", ""3""]"
