homevisitor,stat,value
V,team-id,luther
H,team-id,macalester
V,R,11
V,H,11
V,E,4
V,innings,"[""1"", ""6"", ""0"", ""0"", ""0"", ""4"", ""0""]"
H,R,4
H,H,3
H,E,4
H,innings,"[""0"", ""2"", ""0"", ""2"", ""0"", ""0"", ""0""]"
