homevisitor,stat,value
V,team-id,viterbo
H,team-id,macalester
V,R,1
V,H,4
V,E,2
V,innings,"[""1"", ""0"", ""0"", ""0"", ""0"", ""0"", ""0""]"
H,R,2
H,H,2
H,E,2
H,innings,"[""1"", ""0"", ""0"", ""1"", ""0"", ""0""]"
