homevisitor,stat,value
V,team-id,macalester
H,team-id,st-thomas-mn
V,R,0
V,H,0
V,E,8
V,innings,"[""0"", ""0"", ""0"", ""0"", ""0""]"
H,R,14
H,H,8
H,E,1
H,innings,"[""2"", ""0"", ""5"", ""7""]"
