homevisitor,stat,value
V,team-id,macalester
H,team-id,luther
V,R,0
V,H,3
V,E,5
V,innings,"[""0"", ""0"", ""0"", ""0"", ""0"", ""0""]"
H,R,8
H,H,6
H,E,1
H,innings,"[""4"", ""0"", ""0"", ""1"", ""2"", ""1""]"
