homevisitor,stat,value
V,team-id,macalester
H,team-id,st-catherine
V,R,5
V,H,5
V,E,2
V,innings,"[""0"", ""1"", ""4"", ""0"", ""0"", ""0"", ""0""]"
H,R,3
H,H,11
H,E,3
H,innings,"[""1"", ""0"", ""0"", ""0"", ""2"", ""0"", ""0""]"
