homevisitor,stat,value
V,team-id,macalester
H,team-id,st-olaf
V,R,9
V,H,9
V,E,4
V,innings,"[""0"", ""0"", ""3"", ""4"", ""0"", ""2"", ""0""]"
H,R,7
H,H,10
H,E,4
H,innings,"[""1"", ""0"", ""0"", ""2"", ""2"", ""1"", ""1""]"
