homevisitor,stat,value
V,team-id,macalester
H,team-id,st-catherine
V,R,1
V,H,6
V,E,3
V,innings,"[""0"", ""0"", ""0"", ""1"", ""0""]"
H,R,9
H,H,9
H,E,2
H,innings,"[""2"", ""0"", ""5"", ""1"", ""1""]"
