homevisitor,stat,value
V,team-id,macalester
H,team-id,okla-panhandle
V,R,0
V,H,2
V,E,4
V,innings,"[""0"", ""0"", ""0"", ""0"", ""0""]"
H,R,10
H,H,10
H,E,0
H,innings,"[""0"", ""0"", ""6"", ""4""]"
