homevisitor,stat,value
V,team-id,macalester
H,team-id,st-thomas-mn
V,R,0
V,H,1
V,E,3
V,innings,"[""0"", ""0"", ""0"", ""0"", ""0""]"
H,R,14
H,H,14
H,E,1
H,innings,"[""5"", ""5"", ""1"", ""3""]"
