homevisitor,stat,value
V,team-id,albertus-magnus
H,team-id,macalester
V,R,6
V,H,6
V,E,2
V,innings,"[""1"", ""3"", ""1"", ""1"", ""0"", ""0"", ""0""]"
H,R,7
H,H,8
H,E,6
H,innings,"[""2"", ""0"", ""0"", ""0"", ""3"", ""0"", ""2""]"
