homevisitor,stat,value
V,team-id,macalester
H,team-id,neb-wesleyan
V,R,2
V,H,6
V,E,7
V,innings,"[""2"", ""0"", ""0"", ""0"", ""0"", ""0"", ""0""]"
H,R,7
H,H,7
H,E,1
H,innings,"[""4"", ""0"", ""0"", ""0"", ""2"", ""1""]"
