homevisitor,stat,value
V,team-id,bethel-mn
H,team-id,macalester
V,R,2
V,H,7
V,E,2
V,innings,"[""0"", ""0"", ""0"", ""0"", ""0"", ""0"", ""2""]"
H,R,4
H,H,8
H,E,2
H,innings,"[""1"", ""0"", ""0"", ""2"", ""1"", ""0""]"
