homevisitor,stat,value
V,team-id,carleton
H,team-id,macalester
V,R,0
V,H,3
V,E,2
V,innings,"[""0"", ""0"", ""0"", ""0"", ""0"", ""0"", ""0""]"
H,R,4
H,H,5
H,E,1
H,innings,"[""0"", ""3"", ""0"", ""1"", ""0"", ""0""]"
