homevisitor,stat,value
V,team-id,macalester
H,team-id,neb-wesleyan
V,R,7
V,H,9
V,E,7
V,innings,"[""0"", ""2"", ""4"", ""0"", ""1"", ""0"", ""0""]"
H,R,9
H,H,7
H,E,4
H,innings,"[""0"", ""1"", ""0"", ""2"", ""1"", ""1"", ""4""]"
