homevisitor,stat,value
V,team-id,northwestern-stpaul
H,team-id,macalester
V,R,8
V,H,9
V,E,1
V,innings,5
V,inning-score,10304
H,R,0
H,H,4
H,E,0
H,innings,5
H,inning-score,00000
