homevisitor,stat,value
V,team-id,macalester
H,team-id,williams
V,R,0
V,H,2
V,E,5
H,R,7
H,H,8
H,E,0
V,innings,"[""0"", ""0"", ""0"", ""0"", ""0"", ""0"", ""0""]"
H,innings,"[""5"", ""2"", ""0"", ""0"", ""0"", ""0""]"
