homevisitor,stat,value
V,team-id,macalester
H,team-id,st-benedict
V,R,3
V,H,6
V,E,3
V,innings,9
V,inning-score,000001200
H,R,4
H,H,8
H,E,4
H,innings,9
H,inning-score,010200001
