homevisitor,stat,value
V,team-id,macalester
H,team-id,saint-marys-mn
V,R,0
V,H,0
V,E,6
V,innings,5
V,inning-score,00000
H,R,16
H,H,13
H,E,0
H,innings,2
H,inning-score,31
