homevisitor,stat,value
V,team-id,colorado
H,team-id,macalester
V,R,9
V,H,9
V,E,5
H,R,6
H,H,8
H,E,11
V,innings,"[""5"", ""0"", ""4"", ""0"", ""0"", ""0"", ""0""]"
H,innings,"[""1"", ""1"", ""1"", ""0"", ""3"", ""0"", ""0""]"
