homevisitor,stat,value
V,team-id,macalester
H,team-id,carleton
V,R,1
V,H,3
V,E,5
V,innings,"[""0"", ""0"", ""1"", ""0"", ""0""]"
H,R,9
H,H,6
H,E,1
H,innings,"[""0"", ""0"", ""1"", ""8""]"
