homevisitor,stat,value
V,team-id,macalester
H,team-id,bethel-mn
V,R,0
V,H,4
V,E,1
V,innings,"[""0"", ""0"", ""0"", ""0"", ""0""]"
H,R,8
H,H,9
H,E,0
H,innings,"[""2"", ""1"", ""0"", ""5""]"
