homevisitor,stat,value
V,team-id,concordia-m'head
H,team-id,macalester
V,R,3
V,H,4
V,E,3
V,innings,"[""3"", ""0"", ""0"", ""0"", ""0"", ""0"", ""0""]"
H,R,1
H,H,3
H,E,3
H,innings,"[""1"", ""0"", ""0"", ""0"", ""0"", ""0"", ""0""]"
