homevisitor,stat,value
V,team-id,macalester
H,team-id,st-benedict
V,R,1
V,H,3
V,E,4
V,innings,"[""0"", ""0"", ""0"", ""1"", ""0"", ""0"", ""0""]"
H,R,8
H,H,10
H,E,1
H,innings,"[""2"", ""1"", ""0"", ""0"", ""1"", ""4""]"
