homevisitor,stat,value
V,team-id,concorida-ca
H,team-id,macalester
V,R,10
V,H,13
V,E,1
H,R,0
H,H,2
H,E,2
V,innings,"[""4"", ""3"", ""2"", ""1"", ""0""]"
H,innings,"[""0"", ""0"", ""0"", ""0"", ""0""]"
