player-id,game-id,lineup-pos,start,pos,ab,r,h,rbi,bb,so,2b,3b,hr,sb,cs,sh,sf,hbp,po,a,e,pb,p-ip,p-h,p-r,p-er,p-bb,p-so,p-ab,p-bf,p-wp,p-hbp,p-bk,p-w,p-l,p-s
jorda001,200304241macalester,10,True,p,0,0,0,0,0,0,,,,,,,,,0,3,,,6.0,5,0,0,1,4,22,24,,,,9-6,,
jorda001,200304242macalester,10,False,p,0,0,0,0,0,0,,,,,,,,,0,1,,,2.2,2,0,0,0,1,10,10,,,,,,
