player-id,game-id,lineup-pos,start,pos,ab,r,h,rbi,bb,so,2b,3b,hr,sb,cs,sh,sf,hbp,po,a,e,pb,p-ip,p-h,p-r,p-er,p-bb,p-so,p-ab,p-bf,p-wp,p-hbp,p-w,p-l,p-s
lemk-001,200104241augsburg,7,True,1b,3,0,1,1,0,0,,,,,,,,,6,1,,,,,,,,,,,,,,,
lemk-001,200104242augsburg,7,True,1b,3,0,0,0,0,2,,,,,,,,,9,0,,,,,,,,,,,,,,,
